1	إسناده صحيح على شرط الشيخين
2	إسناده صحيح
3	إسناده صحيح على شرط مسلم
4	إسناده ضعيف
5	إسناده صحيح
6	إسناده حسن
7	صحيح لغيره
9	إسناده صحيح على شرط الشيخين
8	Grade not found
10	حديث صحيح لغيره
11	إسناده صحيح على شرط الشيخين
12	إسناده صحيح
13	إسناده ضعيف
14	إسناده حسن
15	إسناده حسن
17	إسناده صحيح
16	Grade not found
18	صحيح لغيره
19	حسن لغيره
20	المرفوع منه صحيح بشواهده
21	إسناده ضعيف لجهالة الشيخ من قريش الذي روى عنه بقية
22	إسناده ضعيف لجهالة الرجل الراوي عن أبي بكر
23	حديث صحيح بطرقه وشواهده
24	حديث صحيح بشواهده
25	إسناده صحيح على شرط الشيخين
26	إسناده ضعيف لضعف علي بن زيد 
27	حديث قوي بطرقه وهذا إسناد ضعيف لانقطاعه
28	إسناده صحيح على شرط الشيخين
29	إسناده صحيح على شرط الشيخين
30	في (ص) 
31	إسناده ضعيف لضعف فرقد السبخي
32	إسناده ضعيف كسابقه
33	إسناده صحيح
34	إسناده صحيح
35	إسناده حسن من أجل عاصم 
36	إسناده صحيح
37	صحيح لغيره
38	صحيح لغيره
39	حديث صحيح بشواهده
40	إسناده صحيح على شرط البخاري
41	صحيح لغيره
42	إسناده جيد
43	حديث صحيح بشواهده
44	إسناده حسن من أجل معاوية بن صالح
45	إسناده ضعيف لضعف محمد بن ميسر أبي سعد الصاغاني
46	صحيح لغيره
47	إسناده صحيح
48	إسناده صحيح
49	صحيح لغيره
50	إسناده صحيح على شرط الشيخين
51	إسناده صحيح
52	إسناده صحيح
53	إسناده صحيح على شرط الشيخين
54	إسناده صحيح
55	إسناده صحيح على شرط الشيخين
56	إسناده صحيح
57	إسناده صحيح
58	إسناده صحيح على شرط الشيخين
59	زاد في (م) 
60	حديث صحيح لغيره
61	إسناده قوي
62	صحيح لغيره
63	إسناده صحيح
64	إسناده ضعيف لانقطاعه
65	حسن لغيره
66	صحيح لغيره
67	حديث صحيح
68	حديث صحيح بطرقه وشواهده
69	صحيح
70	صحيح
71	صحيح
72	إسناده صحيح
73	وأخرجه المروزي (137) عن أبي بكر بن عسكر
74	إسناده صحيح على شرط الشيخين
75	إسناده ضعيف لضعف فرقد السبخي
76	إسناده صحيح على شرط الشيخين
77	إسناده صحيح على شرط مسلم
78	صحيح لغيره دون قوله
79	إسناده حسن
80	إسناده ضعيف
81	Grade not found
82	إسناده صحيح
83	إسناده صحيح
84	إسناده صحيح على شرط الشيخين
85	إسناده قوي
86	إسناده ضعيف لجهالة الرجل الذي روى عنه عاصم بن عمرو
87	إسناده حسن
88	إسناده صحيح على شرط الشيخين
89	إسناده صحيح على شرط مسلم
90	إسناده حسن
91	إسناده صحيح على شرط الشيخين
92	إسناده صحيح على شرط الشيخين
93	إسناده ضعيف لضعف ابن لهيعة ومحمد بن عبد الرحمن بن لبيبة
